"","Ambient T Last (C)","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)"
"00:04:06","24.4296","18.6847","21.9693","18.5913","21.9235"
"00:04:07","24.4297","18.6848","21.9620","18.5896","21.9254"
"00:04:08","24.4297","18.6737","21.9620","18.5840","21.9180"
"00:04:09","24.4298","18.6757","21.9640","18.5786","21.9182"
"00:04:10","24.4298","18.6812","21.9658","18.5804","21.9200"
"00:04:11","24.4297","18.6867","21.9639","18.5803","21.9273"
"00:04:12","24.4298","18.6757","21.9640","18.5841","21.9237"
"00:04:13","24.4298","18.6682","21.9695","18.5748","21.9163"
"00:04:14","24.4299","18.6702","21.9604","18.5768","21.9164"
"00:04:15","24.4300","18.6684","21.9550","18.5713","21.9165"
"00:04:16","24.4300","18.6629","21.9624","18.5695","21.9165"
"00:04:17","24.4301","18.6778","21.9680","18.5770","21.9221"
"00:04:18","24.4301","18.6649","21.9717","18.5752","21.9203"
"00:04:19","24.4301","18.6704","21.9643","18.5770","21.9239"
"00:04:20","24.4301","18.6704","21.9699","18.5789","21.9222"
"00:04:21","24.4301","18.6742","22.0306","18.5808","21.9369"
"00:04:22","24.4302","18.6724","21.9755","18.5790","21.9296"
"00:04:23","24.4303","18.6743","21.9774","18.5772","21.9315"
"00:04:24","24.4303","18.6687","21.9682","18.5735","21.9223"
"00:04:25","24.4304","18.6688","21.9738","18.5680","21.9298"
"00:04:26","24.4305","18.6708","21.9739","18.5755","21.9243"
"00:04:27","24.4305","18.6689","21.9720","18.5755","21.9280"
"00:04:28","24.4305","18.6633","21.9665","18.5718","21.9207"
"00:04:29","24.4305","18.6652","21.9684","18.5718","21.9243"
"00:04:30","24.4305","18.6559","21.9849","18.5699","21.9225"
"00:04:31","24.4305","18.6653","21.9740","18.5756","21.9355"
"00:04:32","24.4305","18.6727","21.9758","18.5719","21.9299"
"00:04:33","24.4306","18.6691","21.9740","18.5794","21.9411"
"00:04:34","24.4307","18.6728","21.9815","18.5832","21.9338"
"00:04:35","24.4308","18.6692","21.9797","18.5832","21.9338"
"00:04:36","24.4307","18.6728","21.9759","18.5794","21.9319"
"00:04:37","24.4308","18.6730","21.9834","18.5833","21.9431"
"00:04:38","24.4308","18.6711","21.9778","18.5777","21.9357"
"00:04:39","24.4309","18.6749","21.9872","18.5834","21.9395"
"00:04:40","24.4309","18.6731","21.9817","18.5815","21.9377"
"00:04:41","24.4309","18.6675","21.9835","18.5834","21.9432"
"00:04:42","24.4309","18.6675","21.9798","18.5760","21.9340"
"00:04:43","24.4309","18.6638","21.9872","18.5815","21.9413"
"00:04:44","24.4309","18.6749","21.9835","18.5797","21.9395"
"00:04:45","24.4311","18.6677","21.9800","18.5799","21.9397"
"00:04:46","24.4311","18.6733","21.9892","18.5836","21.9470"
"00:04:47","24.4311","18.6770","21.9892","18.5817","21.9397"
"00:04:48","24.4310","18.6713","21.9836","18.5760","21.9433"
"00:04:49","24.4312","18.6659","21.9856","18.5837","21.9379"
"00:04:50","24.4312","18.6603","21.9801","18.5744","21.9306"
"00:04:51","24.4312","18.6641","21.9857","18.5800","21.9398"
"00:04:52","24.4312","18.6734","21.9894","18.5856","21.9454"
"00:04:53","24.4312","18.6678","21.9857","18.5819","21.9380"
"00:04:54","24.4312","18.6697","21.9875","18.5837","21.9435"
"00:04:55","24.4313","18.6679","21.9950","18.5875","21.9528"
"00:04:56","24.4314","18.6773","21.9969","18.5894","21.9547"
"00:04:57","24.4314","18.6773","22.0024","18.5876","21.9565"
"00:04:58","24.4314","18.6735","21.9987","18.5820","21.9547"
"00:04:59","24.4314","18.6735","22.0005","18.5783","21.9529"
"00:05:00","24.4314","18.6717","22.0005","18.5894","21.9529"
"00:05:01","24.4315","18.6829","22.0006","18.5914","21.9584"
"00:05:02","24.4315","18.6755","21.9969","18.5839","21.9492"
"00:05:03","24.4315","18.6699","21.9951","18.5802","21.9492"
"00:05:04","24.4316","18.6514","21.9952","18.5822","21.9493"
"00:05:05","24.4316","18.6700","22.0007","18.5766","21.9456"
"00:05:06","24.4316","18.6811","21.9970","18.5840","21.9548"
"00:05:07","24.4316","18.6737","22.0044","18.5896","21.9622"
"00:05:08","24.4317","18.6757","22.0064","18.5916","21.9605"
"00:05:09","24.4317","18.6832","22.0082","18.5916","21.9661"
"00:05:10","24.4316","18.6794","22.0045","18.5934","21.9660"
"00:05:11","24.4317","18.6720","22.0082","18.5823","21.9624"
"00:05:12","24.4317","18.6813","22.0009","18.5879","21.9605"
"00:05:13","24.4317","18.6813","22.0119","18.5916","21.9605"
"00:05:14","24.4317","18.6850","21.9733","18.5972","21.9642"
"00:05:15","24.4319","18.6796","22.0121","18.5974","21.9699"
"00:05:16","24.4319","18.6870","22.0194","18.6011","21.9717"
"00:05:17","24.4319","18.6926","22.0194","18.5992","21.9717"
"00:05:18","24.4319","18.6815","22.0176","18.5955","21.9699"
"00:05:19","24.4319","18.6796","22.0157","18.5936","21.9680"
"00:05:20","24.4319","18.6796","22.0121","18.5862","21.9644"
"00:05:21","24.4319","18.6685","22.0121","18.5862","21.9625"
"00:05:22","24.4320","18.6798","22.0104","18.5919","21.9700"
"00:05:23","24.4319","18.6797","21.9772","18.5919","21.9682"
"00:05:24","24.4320","18.6760","22.0177","18.5938","21.9682"
"00:05:25","24.4319","18.6760","22.0158","18.5919","21.9681"
"00:05:26","24.4320","18.6798","22.0177","18.5938","21.9792"
"00:05:27","24.4320","18.6798","22.0214","18.5994","21.9774"
"00:05:28","24.4320","18.6816","22.0196","18.5975","21.9774"
"00:05:29","24.4320","18.6853","22.0233","18.6012","21.9737"
"00:05:30","24.4320","18.6946","22.0325","18.6012","21.9848"
"00:05:31","24.4321","18.6799","22.0178","18.5976","21.9738"
"00:05:32","24.4321","18.6761","22.0270","18.5902","21.9757"
"00:05:33","24.4320","18.6835","22.0251","18.5956","21.9792"
"00:05:34","24.4321","18.6817","22.0215","18.5957","21.9793"
"00:05:35","24.4321","18.6854","22.0307","18.6013","21.9849"
"00:05:36","24.4321","18.6817","22.0252","18.5920","21.9775"
"00:05:37","24.4321","18.6836","22.0252","18.5902","21.9775"
"00:05:38","24.4321","18.6817","22.0252","18.5920","21.9830"
"00:05:39","24.4322","18.6799","22.0308","18.5903","21.9831"
"00:05:40","24.4322","18.6837","22.0253","18.5977","21.9905"
"00:05:41","24.4322","18.6781","22.0290","18.5940","21.9813"
"00:05:42","24.4322","18.6781","22.0271","18.5940","21.9868"
"00:05:43","24.4321","18.6817","22.0325","18.5902","21.9885"
"00:05:44","24.4321","18.6836","22.0399","18.5957","21.9904"
"00:05:45","24.4323","18.6744","22.0272","18.5848","21.9777"
"00:05:46","24.4322","18.6781","22.0271","18.5847","21.9813"
"00:05:47","24.4322","18.6707","22.0253","18.5810","21.9757"
"00:05:48","24.4322","18.6707","22.0179","18.5791","21.9739"
"00:05:49","24.4323","18.6652","22.0217","18.5810","21.9759"
"00:05:50","24.4322","18.6688","22.0308","18.5884","21.9941"
"00:05:51","24.4323","18.6800","22.0419","18.5866","21.9905"
"00:05:52","24.4322","18.6799","22.0400","18.5903","21.9941"
"00:05:53","24.4322","18.6837","22.0400","18.5866","21.9923"
"00:05:54","24.4323","18.6856","22.0382","18.5866","21.9924"
"00:05:55","24.4323","18.6838","22.0401","18.5941","21.9961"
"00:05:56","24.4323","18.6819","22.0474","18.5903","21.9979"
"00:05:57","24.4322","18.7004","22.0492","18.5996","22.0033"
"00:05:58","24.4323","18.6931","22.0567","18.5978","22.0127"
"00:05:59","24.4323","18.6838","22.0512","18.6016","22.0072"
"00:06:00","24.4323","18.6931","22.0549","18.6016","22.0090"
"00:06:01","24.4323","18.6912","22.0549","18.6071","22.0164"
"00:06:02","24.4324","18.6913","22.0568","18.6016","22.0128"
"00:06:03","24.4325","18.6932","22.0642","18.5998","22.0091"
"00:06:04","24.4323","18.6894","22.0585","18.5997","22.0072"
"00:06:05","24.4323","18.6857","22.0493","18.5941","22.0016"
"00:06:06","24.4324","18.6876","22.0549","18.5998","22.0128"
"00:06:07","24.4324","18.6895","22.0825","18.6053","22.0201"
"00:06:08","24.4324","18.6969","22.0696","18.6128","22.0219"
"00:06:09","24.4325","18.7025","22.0697","18.6091","22.0165"
"00:06:10","24.4325","18.6951","22.0605","18.5961","22.0110"
"00:06:11","24.4325","18.6802","22.0513","18.5943","22.0073"
"00:06:12","24.4325","18.6858","22.0624","18.6017","22.0091"
"00:06:13","24.4324","18.6820","22.0623","18.5998","22.0091"
"00:06:14","24.4325","18.6840","22.0587","18.5961","22.0073"
"00:06:15","24.4325","18.6802","22.0568","18.5961","22.0055"
"00:06:16","24.4325","18.6784","22.1010","18.5943","22.0073"
"00:06:17","24.4325","18.6840","22.0642","18.5998","22.0073"
"00:06:18","24.4325","18.6840","22.0624","18.6054","22.0091"
"00:06:19","24.4326","18.6785","22.0552","18.6000","22.0093"
"00:06:20","24.4325","18.6784","22.0513","18.5924","22.0055"
"00:06:21","24.4325","18.6840","22.0568","18.5961","22.0073"
"00:06:22","24.4326","18.6822","22.0552","18.6036","22.0129"
"00:06:23","24.4326","18.6877","22.0606","18.6056","22.0167"
"00:06:24","24.4326","18.6897","22.0644","18.6093","22.0203"
"00:06:25","24.4327","18.6842","22.0589","18.6038","22.0167"
"00:06:26","24.4326","18.6897","22.0588","18.6056","22.0148"
"00:06:27","24.4326","18.6841","22.0662","18.6130","22.0203"
"00:06:28","24.4326","18.6971","22.0680","18.6093","22.0185"
"00:06:29","24.4326","18.6953","22.0680","18.6111","22.0222"
"00:06:30","24.4326","18.6897","22.0717","18.6037","22.0185"
"00:06:31","24.4326","18.6860","22.0644","18.6056","22.0167"
"00:06:32","24.4327","18.6861","22.0700","18.6094","22.0241"
"00:06:33","24.4327","18.6879","22.0644","18.6075","22.0167"
"00:06:34","24.4327","18.6935","22.0700","18.6075","22.0167"
"00:06:35","24.4327","18.6823","22.0663","18.6038","22.0149"
"00:06:36","24.4328","18.6824","22.0645","18.6039","22.0168"
"00:06:37","24.4328","18.6824","22.0719","18.5983","22.0187"
"00:06:38","24.4328","18.6843","22.0682","18.6039","22.0187"
"00:06:39","24.4328","18.6824","22.0682","18.6058","22.0205"
"00:06:40","24.4328","18.6880","22.0700","18.6020","22.0150"
"00:06:41","24.4328","18.6806","22.0608","18.5927","22.0132"
"00:06:42","24.4329","18.6899","22.0701","18.6021","22.0243"
"00:06:43","24.4328","18.6899","22.0719","18.6057","22.0260"
"00:06:44","24.4330","18.6863","22.0720","18.6058","22.0261"
"00:06:45","24.4329","18.6881","22.0756","18.6022","22.0243"
"00:06:46","24.4330","18.6881","22.0720","18.6077","22.0317"
"00:06:47","24.4330","18.6974","22.0775","18.6133","22.0243"
"00:06:48","24.4330","18.6900","22.0739","18.5947","22.0206"
"00:06:49","24.4330","18.6882","22.0740","18.5986","22.0171"
"00:06:50","24.4330","18.6807","22.0683","18.5947","22.0225"
"00:06:51","24.4330","18.6900","22.0739","18.5985","22.0206"
"00:06:52","24.4330","18.6918","22.0720","18.5985","22.0225"
"00:06:53","24.4330","18.6900","22.0775","18.6022","22.0280"
"00:06:54","24.4330","18.6863","22.0794","18.5911","22.0281"
"00:06:55","24.4330","18.6789","22.0758","18.5985","22.0206"
