"","Ambient T Last (C)","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)"
"00:06:04","23.3262","22.0190","22.6743","22.1249","22.7590"
"00:06:05","23.3257","22.0131","22.6757","22.1244","22.7512"
"00:06:06","23.3253","22.0163","22.6753","22.1204","22.7527"
"00:06:07","23.3251","22.0180","22.6750","22.1201","22.7524"
"00:06:08","23.3247","22.0121","22.6783","22.1289","22.7521"
"00:06:09","23.3243","22.0263","22.6834","22.1377","22.7645"
"00:06:10","23.3240","22.0223","22.6794","22.1356","22.7642"
"00:06:11","23.3236","22.0164","22.6772","22.1315","22.7528"
"00:06:12","23.3234","22.0163","22.6752","22.1313","22.7553"
"00:06:13","23.3232","22.0161","22.6732","22.1311","22.7579"
"00:06:14","23.3228","22.0101","22.6708","22.1251","22.7501"
"00:06:15","23.3224","22.0153","22.6761","22.1414","22.7572"
"00:06:16","23.3221","22.0223","22.6867","22.1594","22.7715"
"00:06:17","23.3218","22.0257","22.6846","22.1628","22.7694"
"00:06:18","23.3215","22.0309","22.6861","22.1551","22.7580"
"00:06:19","23.3211","22.0250","22.6766","22.1455","22.7613"
"00:06:20","23.3207","22.0209","22.6743","22.1507","22.7628"
"00:06:21","23.3203","22.0169","22.6795","22.1485","22.7495"
"00:06:22","23.3200","22.0147","22.6681","22.1482","22.7492"
"00:06:23","23.3197","22.0199","22.6807","22.1479","22.7563"
"00:06:24","23.3193","22.0195","22.6821","22.1364","22.7576"
"00:06:25","23.3188","22.0227","22.6816","22.1469","22.7590"
"00:06:26","23.3185","22.0224","22.6813","22.1558","22.7606"
"00:06:27","23.3181","22.0220","22.6773","22.1573","22.7547"
"00:06:28","23.3178","22.0254","22.6751","22.1552","22.7525"
"00:06:29","23.3173","22.0212","22.6783","22.1528","22.7594"
"00:06:30","23.3170","22.0338","22.6853","22.1451","22.7627"
"00:06:31","23.3167","22.0243","22.6795","22.1283","22.7551"
"00:06:32","23.3163","22.0239","22.6773","22.1205","22.7547"
"00:06:33","23.3159","22.0254","22.6824","22.1275","22.7635"
"00:06:34","23.3156","22.0268","22.6839","22.1253","22.7631"
"00:06:35","23.3152","22.0209","22.6853","22.1249","22.7683"
"00:06:36","23.3148","22.0316","22.6960","22.1429","22.7679"
"00:06:37","23.3146","22.0314","22.6922","22.1373","22.7604"
"00:06:38","23.3143","22.0127","22.6882","22.1406","22.7711"
